
 Greedy output [epoch -> 1 | step -> 500]:  , " " , , , , , " , , , , , , , , , " , , , , , , , " , , , , , , , , , , " , , , , , " " " , , , , , , , , " " " , " , , , , , , , , , , , , , , , , , , , , , , , , , , " " " , " " " , " , , , " , " , , , , , , , , , , , , " , " , , , , , " " , , , , , , , , , , , " " , , , , , " , , , , , , , , , , , , " , , , , , , , " , , , , , , , , , , , " , , , , , " , , , , , , , , , , , " , , , , , , , , , , , , , " " , , " , " , , , , , , , " , " " " " , " " " , " , , , , " , , , , , " " , , , , , , , , . , , " " " , " , , , , " , , , " " , , , " , , , , , " " " , , , , " " " , , , , , , , , , , , " " , , , , , " , , , , , , , , , , , " , , " , , , , " , , , " " , , , , , , , , , , , , , , , , " , , , , , , , , " " , , , , , , , , , , , , , , , , , " " , , , , , , , " " , , , . , , " , , , , , , , , , " " , , " , " , " " , , , , , , , , , , " " , , , , , , , , , , , , , , " , , , , , , , , , , , , , , . , , , , , , , , , , , , , , , " , , , , , , , , , , " , , , , , , , , , , , " , , , , , , , , , , , , " , , , , ,

 Greedy output [epoch -> 1 | step -> 3500]:  "in , " ofander . " " of . " , and Owlyly of "byly to " theled . " D , "'ve he , be he have , , been a up the . of theting and hely . " be the the large of a the , and he , "ands , the not . " have him mother . the , , he than . " face of , and Petonagall , andin .oenixly of . the's the . a and he was't be and was the him . " him long , , wasanderle . and said's , . , "'d a mother . " said saidle of ' notringboard , " he him , " " Harryrid , "ander the large . the mother . the to him the up the large , , " he the , , and the mother the he'd out ' . large , " in " notllled . at . large ,ander , " he large of the and " the mother . the mother , wasby right large , he's be the up the " " ' , " Harry's mother . " Harry . the the mother . to "'s not , " to , a , "rid ,rid , up to boy , " him , the D . " wasander it . theiv in , " to the D . " he the house . of the D . " he was at at a down the he he and a he , he to the D . "'s , mother , a in he the , . " said's a'm " said therid , " the the he , " Vernon , " had he . boy he at large and " down the D . . " said was not a to " said'd Harry "rid ,ander to " said'm been a be . large ,ugg , a know up , " said was Harry " " few he " " Harry's " . " said bitugg , " said Harryrid , " "'s not he've theby inches . a . " ' not . not mother . , , . the the large . ' not boy Ouggles ,'m , . , the " " " have . he know the . the've be the large him the's , " " Harry Vernon's " said . know be the . of the . "ly . " " said've , " said Harry's " said've he'm not large few , " said saidles , " saidandered to Petunia , . " saidting , the ,

 Greedy output [epoch -> 1 | step -> 4000]:  , be he'd a letter eyes , theurs and a he . " was a few few . , He was been , and he school . , and , were in down the first of He was have been it to be , and he and he was the was to the eyes of he the and saidrid , not , "'m , . a's's him ,'m be not , " the boy . " " " , " " Harry McGonagall , " " he'm't know he know not to the you , , know a , " the it , " " "'m got in the Harry's the head and he , "'re not boy not . said been to , " " "'ve ' know , know't know , boy ,'s out , " " , McGonagall , " to the . , he at the not . " " , know't know "'m been a the . . . "'ve't know the , .'s a than a . " he're been a and he'm you . a head , , boy . to boy , " to the to "'s . in he . , " " " was not train not , a . " " Harry , . " "iv and he's be not to the you , the . he said not ! "'m been to . bit . " " " bit ! " " Hag McGonagall , , " . on to the train . " " , " , " know he know't you . , the bit . " , . be been him . " said be in . bit he'm't know not you you . a , though's . in the train of , be in and to him's bit ! the world , be that head , " " " you " " Harry , " at bit : the boy of the head pastus and " "'s be in to the him , , the and " . he's't on a to " . the to said't know a it "'t know ? you to , ! .'d be going " up the . the .'s I said not to the him . " " McGonagall , his ,'s " a , , " , " he , Hag " " , , " ? going . " the , " you , , train . up , " , " "ing the head . , though he'd he was be going Harry's him , " "rid , the up . " " " Know he . to the ,rid , the , you . though and " " "'m be ,

 Greedy output [epoch -> 1 | step -> 4500]:  " had a , , was be had . " was to the to " " tols , in room , " " , said up the very . " the Petunia's been be it he him . very yeary , "'s on the headlyagall .ly , " he said been very , " had't be that he he was a he'd't be a he houseursley had a . , " Harry were in "'d't beaned to be first and the of and " was had . his catursley were had . . " . year . " he , he'd have . and had he had have a large , the eyes were been . the was , . " was't be , stupid the first and he eyes had been . " , and he had the eyesy good , , the eyesboard . and had on the the very , . " large large of thels , the large the . the life . " was and had , and a cat . and he'd't be that he the cat hair , on the " had't have , eyes were the the " eyes and a had had . the . and the the , had a to be him . " was in , of the . a first , " he'd been a , and had been of the of the ofy an on the him . . and he was been had in houseursley , in eyes the . " the he was he the , he that . he he the first , to the that . " one , he were in and . " largely in the large eyes of , been to be . . he of . the Petunia had the had " the of had , he had that first in and Petunia had been past . of the cat . a them to " very , at room had in . the eyes been they at the . . the large hair " very and in the large good ,iers , been was the eyes , the first , first room , the , in . a large . " Ders of he the , . was a first , were to the the D day had to be it large . . " the and and had been , of " were that was was gang , that he people was was the eyes , room room of the his , and the had to the . the had gang , " : " Sboardaks .onewed Dudley cat of the first wasa hadrictor , Harry had eyes had had . " the first he had a to of the eyes McG . , and first

 Greedy output [epoch -> 1 | step -> 5000]:  the hand ) , " " said wizard he " said saidander ) , "'re not lot . theuggle , get'm not one of the " " " , " you know " said Harry McGonagall ,ly . " he he said't know I is a hat , a . . " " Dumbledore've , " be you've Who's been . " " eyes , McG " a bitander at a ,'t them . the eyes . " right is Know Who , you . a . .'m been a to do , in the a . the mother not , Vernon , " " McGonagall ,in ' . " you , " was goingickle the one . , " to to the , " " was . brave , you I'll a ,'ve Who's " em'm been been you of to the a of the , , not , " " "'m , know't know " " Harry McGonagall , " going inchesump , " inchesLE . " " I , going . " in he've going train one . Know Who , " . , " , and going of the " " "'vein me , " " Dumbledore , . " " , been .'m be been been " " " Dumbledore I ? not . , to the them . " " "'s not you . emly "'m't knowED as , . IffffLE'd me ,'d . House , ,y . " " McGonagall , out bit not . Hogwarts , then Dumbledore " " Dls nine a in to the hat ,'s a . the " Know , he else not , " a ,'d not . " you he , to . " " was to , McGonagall , been the hat of'd goingitch to the , " train one to'd been a . the bit . " . . to . " a . though bit in as though bit and been'd Dumbledore ? a a lot the . though'd you , " was going the , " " else " going , "'d going going to the him . he , me eyes . going ! " , " , " going of boy . , then you to , " "'s're not , " "'d down the " " you's . he , out , theY's not . " was to do his hatll , " D is that , and the's , a going's're going . " " , to mother . " McGonagall , . " " and thening'm't know him's'm't know it the him . , "

 Greedy output [epoch -> 1 | step -> 5500]:  . he a him was to to the face . " first of the way . the the very man " had it be at the . the " said't't know up . lotboard ' the . " beh , "'s the a a ' in . " " hadigg the the the D , he's down in a , " saidy . . "h , schools " " Harry way . "'sab " a to the as the parents . and was abe , " , and him Vernon . " said ' em ! not . " said Harry D . " . up the the way . " hair " face . the the he D eyes . a eggsling . his bit . " said ' em he don it , " , a you bit , " said Harry letter . " saidh , at bit of aer parents , " heh , been aer parents was birthday . " said Vernon . a bit .uffing down of " said don that Harry , me the . " . " said said the " said'd you and a . " said said , " up . "ursleys . "h , mumop , " said Harry D . said the the D to the way . "ked her house out of the Vernon . a as " out . the letter as though in though it . been a a his , " a a . the bit of the letter . " Vernon . a room . . and a bit a indden on the " said , . " said Harry D . " on parents to the houseursleys , " said bit good to . theh , " youuff . ah , .'m have . down the . the , of " it . be all the , " said an ' the . the parents . the he was out bitYab face in "'s his . a , to " , a large room " house and . theolly Harry . to the . the hair . "'s like . the house , " was he the , you , " he kitchen . a him the house to the parents , " the he'd Harry . a " said was much , " said D . . " said , "'m't knowgyickle . "arus 'rid , " of the at a at the , " said was out of ' parents to a his . birthday parents . " said's the he . , " ? " said was Harry " the parents and . " said don be a , myst douff . it heh , been a . " . " said

 Greedy output [epoch -> 1 | step -> 6000]:  . .illle . " "'s a was not ? " "led Professor McGonagall . " " a . was not you . D .'s not you was't know you bit , , " was not as of the , D , think it . the , the D . the'd you , ? " I "'ve't you , " " Dumbledore , " "'ve not got , " " McGonagall , out of bit . .chief and thenting the the eyes . him eyesff and " , him bit thingsed though said a very dear , the name . then it . " was a very lemon . . " was been not and they reason . . " , were a around the Pot of " was have been a . the , " he " he was it . to the name . then , " Irid , eyes he " don you's a's was you ,'m be a . " the D . " " " , " " Hag McGonagall , " " you'm't know you , not to his you , ? ? not , " the right , " " "'m got back the Harry , his name and then , "'re not D one .'s gone . , " " " Know't know ,'re't know , D in was . . " " , McGonagall , " to the name . then at Hogwarts four , " " , ,'t know "'m got a him . right . " can't know his M in was , than a . " he're got a , ,'m that . his name , right D . the D , " " a . "'s , on uncle . , " " "'s name D four . a . " " Dumbledore , . " "agall and uncle . be a to do that he the . Dumbledore's not ! "'m been to . bit . " " " wizard . " " Professor McGonagall , , " on to the the D . " " , " , "'re I're't that right is the bit , " as in be been him . "'s be a , bit I'm't know a if I . a that though , . in the name he's be a for to you ,thin in the world . be that name . " " " , " " Dumbledore , " up little around the D of course name past . . " "'s be a to do him of , name . " for he's't to uncle , " for a ,'s't know if , "'t know're you , . .

 Greedy output [epoch -> 1 | step -> 6500]:  . the " " , " on ,er House of " of theh've " said Hagrid . " " ,er mom bit , " said was a around his wall . " the wall and a rightled ating be a of " said'm not bit's " said . . " said wizard , " ' the , " said Hagrid . " on . ter the wall , "'saned and a got be , " said ' years bitump of ' years'ry , "'m be , " .h've got a up ter bit o " a bit an ' time , a , "'s , beh get a " ' dad'm I was notou ' I ,h get yer mum , " " , out of umbrella . Hogwarts . the the Dish and , " in theald green ) the D . " , " S , " on the M , " Floor . "'s a of wall . he : THE .WARBL SCHOOL o 'andsCRAFT and heandsARDRY Headmaster : ALag DursBLEDOREons Order of the , Grand Class , and Sands . " Grandf . " , and Mugwry of andgesed y " the ) by Dumbledore D , Grand Know pleased to the you'd's could been accepted at Hogwarts . of the hung and Wry . " ye enclosed a bit of the necessary books and W , "ump on the 1 . " await your House by the idea , he , . "us of , he McGonagall came and Headmasterress Questionsings around the's four , fireworks and W was't have and was get ' . " all few minutes ' wasammered . and said's a's , "'re your parents " " said saidop of ' yearsringons , "'s me , " said Hagrid , "apping his bit at the umbrella . flaming to a the over the bit , , " a the . bronze and the umbrella the he said a ' " bit . " through " inchesappingled through at . bit ,ands , " the bit of the , " a head between the umbrella of saidbled a bit , the's be over down the " Professor McG ? " Harry's eyes . " Harry . the the umbrella , . "'s wand . " ter , open , "rid ,rid , up a door that and a was the shop . " wasamb it was the eyesak . " on the shop . and he a little . of the shop . " he had back over he down the

 Greedy output [epoch -> 1 | step -> 7000]:  , , . "'d know . , , I . I a , and "'ve been you , the , , I's the , for I they's the , , " said . the the name and he out of few time an was " was in . " said aunt , theabbers's Ron said useless , " said seen had up the "'s a excuse , the head were a able a few Frog , " they're't aff he think , I've yourabbers , , " "'s the went back . " was to think he said never Harry , . " he'd back down think at of the same . "'s't he he was the he . a to able to the with owl . " all the he'd had been been of . his head . he few from , and he'd me . much and the having a think were's gang boy , he been up sister , . " was to befully , . " He he herid , you , "'m't know what , it heard bit , they you parents ? angry , " , . " "'s " " Harry , " said'd Harry Know Who's the , said Ron , " not woman and he . " "'m be been you , " course about , " said'm not . to be enough or they , " , boy , " said Ron , " said'm as been you ,'t be " , he think , " think got you of the . "'m , " "'s , " for a name . , ,'s been talking Harry , bit . , " said think I'm not best . the best , " said " Know't know enough "'s the of course who's in theuggle families , I're . enough , " " they're been a , " boy . been a , of course , " ,'re in past brave and of the and he . "'re a . a bit , " the boy as Charliebe past brave "ters past brave and's a few ,am measure the the window and Harry few , andpled woman slid open into way and the , and " off the window , "ab ? " " , " was't know a of , " toad nose , and the , the went to . . you said .'s said had up . " , to of the window and " had a got a of . all with a windowursleys ' and he , he'd been doorling around a and the four'd almost to the the he Mars Bars . he'd have on he same had't

 Greedy output [epoch -> 1 | step -> 7500]:  a , " years a of " D be up . the hall all . " he , " a great , " said McGonagall , me Great years . " said dab me . " he oddly on Dumbledore he mother . been to her the and's a the . them line with the hair . and the . them . and examined're out of the first . and into the chamber . and examined the very of the doors and the first Hall . "'s a seen imagined seen a line as examined place . " was a with the and examined . the that the sitting in the Fri through the . black were and the first of the first , in in Harry tables were sitting with theed a plates and examined on , , Harry the students of the students . the lantern tables . the first staring in in Harry McGonagall's the first years , to . the that the were to the vel in the vel . the first room , and the students near them . A S of the staring at them . like a lanterns of the students candlelight . Theurs here . saw among the first , and first be misty blankets . Hely . the all the students at seemed and's like and saw that velve . black . dotted with the . He looked the . , but I's here hereitched . be at a rest as the "'m . them's the . " test . " "'s in to be it . in vel .'s all the " you the hat Hall .'t havey here the be hat . " Potter . like to . they McGonagall silently . a few legged stool . front of the hat years . He the of the hat . could out rabbit and's the . He was , the and frayed and fr can . He Petunia's't have just out in the hat . He . were to be . fr a rabbit out of the , and's , , he everyone to hat of the noticing where's in the first . patched staring at the hat , he couldn at the's he . He a rabbit minutes , and was patched silence . He , hat ,itched . He rip near the hat had the like a few , the hat , to be : " I , " will be to I'm pretty , " you't have on the I are a "'m be myself . you are't your smarter hat , you , " can't your dearers , , " head of sleek and I , " you'm not hat ,orting Hat " I will't them all the " was sm in in

 Greedy output [epoch -> 1 | step -> 8000]:  andllivander , and theh know be been house . . " " wizard , , , ph was's been a be around to the " sky years . very and aapped . "eling gold 1 on the floor . andllivander report Mrakers of the .ands , the2ind . " . " single . . on a single purple cushion in the dusty dusty . " tinkling bell rang , in the floor of the dusty . they stepped over . " was a single noise , empty . they a single wand butindly chair . herid's forward the the . " felt a as though he had entered a long dust library he had a tiny of his end that he a occurred to the . he like and the floor of his and piled neatly right up . the shop . " some secret , and shop of the eyes prickled . " sky dust and silence chair the that to seeingle with some secret magic . " said afternoon . " said , very than . " jumped . "rid was have jumped , pale , very there was a very crunching noise and they thought out . the shopindly chair . " you man was a before the . pale head . pale hair shining like moons through the shop of the shop . " Good , " said the's . " said yes , " said the very . " said , " , "'m I'm be seeing you soon . " Potter . " "'s't be quarter . " "'ll to wand's eyes . " seems to yesterday to was in it in , " her . wand . "ly they quarter inches . , buyingishy , buying of the be . " wand that charm work . " said Ollivander moved closer for the . " . he had blink . " silvery eyes . a long of . " Mr father . too the shop wand . and it longogany wand . " inches . "iable . " little more power and excellent for transfiguration . " , because'm it wand favored you's . really the wand that he the wand , but the , " Mr Ollivander . to in close that he said a's a touched . be . "'s see it reflected in his .y eyes . " Mr I he forehead to he Ollivander . the wand . . the's forehead . a long , " finger . " said'm sorry to Harry ,'m the wand . he it's " Mr said softly . " Mrirteen and a long inches . "ew . " wand . and powerful , but a

 Greedy output [epoch -> 1 | step -> 8500]:  " " "ade head , " saidbed Harryrid . " out . little , and . .ands and Hag his feet . his , " said I'veinging't know it , an ' I dead I ' that little , Potter ter take . auggles like said said , " , "'s the . sad , " I there letter on yourself , "rid , " they'll be enough , " said Quonagall , . "ting Crid gingerly . the tw . I , through the doorstep garden wall to walked to the low door . " laid Hag Potter on the doorstep , and a full out of his cloak , and it into .'s shoulders . and the came to to the other hand . " a very of . little of them inside and walked at the little bundle ofrid's shoulders shook his and McGonagall blinked furiously , Hag he twinkling light that usually shone from the , eyes seemed to the gone . the " I , " said Hag , , " said . the . "led no business staying here , " may as though , and join the celebrations . " I I , " " Dumbledorerid . a letter muffled voice , " I think be get a bike inside . "ring that , Professor McGonagall blinked McG , " , " "iping his streaming it , his streaming sleeve , Professorrid . a onto the motorcycle and walked his celebrations onto the . flaming very as rose on the air and walked the the celebrations , " I think see you soon , Professor think , " McGonagall blew " said Hag , " on her . " McGonagall blew his . . reply . " , out walked out into the street . " the bundle he blinked and that a the street Put Outer . Heaps it into , and turned and of the , on into the street lamps so that usuallyvet Drive wasowed const orange and turned could see out the smallby cat inag around the street . the street end of blankets street . " turned have like a street of blankets . his street , the four . " Welcome luck , "'s " he murmag . Heaps out the cloak and turned his swishing of his cloak , the could almost . " breeze ruffled his street hedges of thevet Drive as and was on and tidy under his streetky sky , the only last place you could be astonishing things toad . He Potter , up the faced blankets on waking up the The of room closed it the door . him . tidy was on the and knowing he had special , not

 Greedy output [epoch -> 1 | step -> 9000]:  have the , " Petunia , a they's have had in the house on Dudley he his cup relief , "'s't even . " the house room to he was have out the trouble for a found on the wash of the room kitchens . Harry's birthday had been chasing him , though when he Harry though room Harry's gang as usual else , ( he , had sitting on the firstney . He Dursleys had been the large angry of writer the had birthdaymistress telling him and had been climbing school buildings . He Dudley , had had to the if as he had , the Vernon had the locked door of Uncle cupboard ) . jump . him big trash cans outside the room the . He supposed to the room must have been it a the jump in He that , the in jump to go , . He was even worth to at Dudley , Harryiers , get spending the time , . the't , , the cupboard , the P Digg's cabbage smelling living room , Harry he'd , the Vernon didn day be Petunia , " didn to be to things : " in work , the , Harry council , the , the house , the Harry , going to few of his cup subjects . He morning , the was motorcycles . He I along like maniacs , " house hoodlums , Uncle he said , as a motorcycle overtook them . " I'm a motorcycle about a motorcycle , " said , , remembering suddenly . " It was a . " said Vernon , crashed into the house in front . " didn out around in a face and yelled at Harry , and face like a motorcycle beet with a mustache : a MOTORCYCLES DONT FLYCL " Uncle and aiers sniggered . " MOT've ,'re't , " said Harry . " I was a a dream that " Dudley I had he wished't , Harry . " they was a . he Dursleys didn anything a than even asking questions , they was a asking to anything acting in a cartoon it was't , they good if he was a a very about angry a dream they didn to know he had have dangerous ideas . He was a dream sunny Saturday , the D rang a with a . He Dursleys had him and theiers and , of creams to all D and the said they the D around in the D had a Harry and he had to they didn bad him a , he didn him a long sunny . cre . It was't bad as they , he and , he it . they didn the large far the eyes

 Greedy output [epoch -> 1 | step -> 9500]:  , theonew and he were in and aithering through the of stone and in enough " had Harryiers and to the the , the cobats and flat , he in thingsawnons , "'s was the other snake slid the glass . " was have been out eyes direction beside the Vernon's birthday and dark it . a large can the the the glass the .'t have at the snake was " fact that his was very asleep . "'s and his kn was against the glass , the at the glassoneweningoping coils . " Make Harry move , " he saidined at the head . " Vernon tapped on the glass , but the glass .'t budge . He Make it nice . " he ordered . " Vernon tappedumbling the snake smartly . his newuckles , but the snake . snorted ! on the " he is boring , " he moaned . " shuffled over . He put at front door the snake and began intently at the tank . He was't have been having if the . been of the itself no company except stupidly drumming the fingers on the snake . to disturb it . the long , He was worse . having a cupboard at the cup , where Dudley snake visitor was worse Petunia jering on the house for have a up at least he got to visit the house of the house . He snake jer opened its eyesady eyes . He , but slowly , the . its eyes : the eyes . sitting the level with Mrs's tail The wased . He's . He he looked up . to the a anyone was watching . He were't . The looked at in the snake and winked . too . He snake andked its eyes : Uncle Vernon said Dudley's but Uncle its eyes to the snake . " was a a look that it Uncle plainly : " I want that all the snake . " he Harry want , " said murmured through the snake . " he murm't move the snake jab be him around " Harry might have annoying annoying . " Harry snake jab vigorously . " Harry do you all from the " ? " Harry asked . " snake jabbed its tail at the little sign next to the snake . " peered at the nice "a Constrictor , Brazil . " Was the nice to ? " Was snakea constrictor jabbed its tail at the zoo next , Harry pe and its " specimen was bred in the zoo . " Was , "'ve so you , been seen to Brazil ? " " the zoo jab its tail . you deafening shout behind them pe

 Greedy output [epoch -> 1 | step -> 10000]:  a .ress 1 the , had been to things of . He he day caught been to a if two he was , five Vernon was a D snake of his cupboard , . a in his kitchen trash cans outside to wind doors . He was , he room was have been a around the jump in He all . but was a to be . . He was very worth , at a was aiers was be with the kitchen somewhere that he't be , the cupboard , but P Figg's cabbage smelling living room . Dudley he drove . the Vernon's of Aunt Petunia . He didn to complain about things : " at work , the , Harry council , the , the bank , " Dudley , just a few of his cup subjects . " , , the was motorcycles . " I along like as , " young hoodlums , " he said , " a motorcycle overtook them . " I don a motorcycle about a motorcycle like " said Harry , " suddenly . " It was looking . " I Vernon nearly crashed into the car in his , " was into around and his seat and yelled at Harry , his seat like a gigantic beet with a mustache : " MOTORCYCLES DONT FLYCL " I . Piers sniggered . " I don how don't , " he Uncle . " I was only a dream . " I the hadn he hadn't , Harry , " he was only thing all Dursleys would even more than his talking questions ! his was his name about anything acting in a dream it was't , his matter if he shouldn his a large or P a very they seemed to the he was be dangerous ideas . He was when cartoon sunny Saturday and the D with a around flickering . He Dursleys had him's Piers was chocolate and creams back the van and P , his the zoo lady in the zoo had a how had he was they he had hurry up away , he had him away cheap lemon drops cre . He was't much as he , they had , his it . they seemed the gorillatime his head , was up like a's he that he was't much . He had no same , , was had made the strange , to Harry was no to think into little man away but the sameursleys ittime he . Piers , he was in to the bored with his street by thetime , he't remember back on the street hobby of hitting each once He ate in the house restaurant , he Harry Harry's a strangerum and Dudley mindickerb . for

