
 Greedy output [epoch -> 1 | step -> 500]:  " , , the the , , D the be , " , " D , the ,on , , " , " , ,on be , " , , "on , , the " , the "on , , the , " , , the , , the " , , the theon , , the , " , . , " the , . , , " , " , " "'t , the , ,on , the , " , the , , " " , , , " D , D , theon the "'t " . the ,on ,on , , . the , " , " , . the , " the the , the the , , " " , the the " be the be , , be , the the , , " " " the , "on , the , , , theon , the the , ,'t D , , , " ,on , be , the ,'t ,on , theon , , " be , theon the , " , , theon , " , the , the the be , " , the , , the be , , ,on , " the , the , the the , the the , the the "'t , the , , theon , " " , " " "'t , theon , , " " the the , be the , , , the D , , the , " " " be theon , " , " " " the , , , " " "'t , " , , , the theon , theagall , " theon , the , , , , theon , , " the "on , , ,on , " , , D , theon , .on , the , , the the the ,on , " " the , " " the't , the the " , ,on , be , "on , , the , , " " , , the the the the " " " , the be the the , D , ,'t , , " "'t " , , " , , D , " " , be the D the D , the , be , , , " " D , ,on , , " " the , " " ,'t " the , , the't , " " the the the , the , , the the the , " theon , " " the be , the , the , " , the , the the ,on , , , ,on , " , , , the the the ,'t , theon , , ,on , " " , the D the D , the

 Greedy output [epoch -> 1 | step -> 3500]:  , " don , direction you've what " knowtin right train sky as a and a , hum theutterment , " they ,'ve'ttin and a , ape . " .ons , was been fewbanind name one , . " said , it . few light , " at the was . " a at a sudden . " saidusishingledor a "out . " said climbed been loud . . the window Flavor Beans , "'s a , " , " Magical , " , " , and in " , " voiceine , " a a if as to theblet wand of the little . and , ,'t know for " was out of the a than " twins on , asies window . a in eyes birthday " sp fields was to . " , was in , "ming , " aly light . " was a few in the door . the way and a corridors his little ,'s been , the . and he seconds . to the " was atful of " said , " said was Harry and said he to , it sudden look , the . " Harry he climbed his way , " wasands , " "'m got , , " was lost a . the , " said said have it to " said Harry's " said , " said Harry window ,ably . " said , " I , , . said was to " "'t know why , was a unfair , " said Harry . " said I've lost a bit the ,'ve be it's he to he'm see " it ? "'ve itabbers . " unfair'm't know to " said train , almost gotar ! on the . a . " said was be a and a know't know why window , " " Harry's the . " said'm to the on . yesterday to the a , than . " I window books't you , "'m be you , " at said wasmaged ! the the wand . a out of bit painful so . . " was almostipped in the and a , , almostinting families the window of " said sticks was a e through of " , said was a like his wand . he window door . open and . " twins look , boy , almost on " he , he was a girl , a . " had almost seen a . Gry , , " said anyone's it sudden the , " , a , . " said was Harry " kissed a fewy , of the . " to the . brown twin was " a quiet robes door he " said've lost got Harry in

 Greedy output [epoch -> 1 | step -> 4000]:  , " along onesitched and andileed . " the were . Harry D , " use , to the you get the that been a at the . . thecraft , the indeed . " the their a few . the the the by the . " was . the 1 . "'ve the House was the one , they , . " food of , and McGonagall , and Head ofress Questions exploded with his , eyes . a and the was't see with was be me years " all rabbit seconds to wasammered . and "'s . . , "'re the house . " said "op . ' emoyleons , " ? me ? " " Harryrid , "amped his very , him feet , a to him the up the bit horse , " threw the , long . his feet the he'd out ' , very , " with " dirtyuffled . at after very ,ill , " he very call them . " the eyes and the feet he'dbled down very , the's see upside down at Dear Professor McG . " Harry's eyes . " it . be his eyes to , "'s the silence " you ? a , "rid ,rid , up . D , " them . be street . " wasamped it's the eyesw outside " to be other . " then them first . of the street to " he'd to and a down . he he , a he , he to the M calls "'s that eyes , going . then it was . " said's going've " said .rid , " I Hogwarts's , " Vernon , " so he faced boy I at angry , " at a M . . " " looked not going to " said'd Harry "rid ,ted and " "'m be a get him letter thingsuggle like a get him . " "'d . " " smarter ? " " . , " in " " smarterugg , " " Harryrid , " " . not ?'ll nonmagic folk like a . " ' em's not D as you get up and the great in ' house M blackuggleles you'm laid with . the " " "'ve we you knew a , the'll be him letter him me's , " " Uncle Vernon , " said wildly knew be out was of the , " indeed , " " " knew you " " Uncle's " " knew you'm not letter greating " " saidnew Of " saideking . Petunia , , " saidnew Of course ,'ll he " could you ? to a " house Drive me

 Greedy output [epoch -> 1 | step -> 4500]:  . to into the air and and staring at the cloak , "'d . Vernon's kitchen , Dudley kitchencard . " down the a Dudley , to complain the kitchenish . " Vernon's with the kitchen , andig . the . the Dudley over the postcard . Dudley Makearge's head , " he said Aunt Petunia , " saidte a moment whel like " " said ! " said Harry , . " said ! " . writing a . " said . written the table of the his head . " looked a in the letter , , . the letter . " the . aked his . of the hands . the Vernon , " said's writing " Make . . " to snatch it . his " Make ? be writing to snatch stop " saidered Aunt Vernon , " . giant . his the of . aancing at the . " face . to the hair the ink than he letter a the lights . " it .'t stop to . " seconds , . a mail water of of the timeridge . " saidiersiersunia , " Make said . " . to do it moment . the the . " Harry Vernon , it . waves of the Sm . " Petunia , a . like a the moment day , " a dream they . like the , said have . " clutched . leg . Dudley a letter . . " said , " , cup Vernon , " said're . the other hand " to be been that Dudley . a's trying streaming the Sm . "'s't bud to be ignored Aunt " was him Sm . sc , . the Sm . the Smelting stick , " said'm to get the you . " "'d Harry . " said'm to the the . " said Uncle , , " said abnormal . writing " " " said the of " of the , " saidaked Uncle Vernon , " the mail . to his envelope . " .'t ask . " said'm MY LETTER ! " said said a " said's , a . " " Dudley's " " ! " " Uncle Vernon , " a'd a of , a's the scrawns , the arms and Dudley a . the table . " the table . . him . " . Dudley , had hit moment with the . for the was be to the backhole Dudley's't " dangerous . " heart dangling over the of , " on on the Sm r be at the table and his . Dudley . " said . " " Petunia , a . the momentivering hand . " " at the boarded : Dudley see were be

 Greedy output [epoch -> 1 | step -> 5000]:  . " ? " , " he . out , the up at into the potion and . " looked been as the hands and the backursleys had car and he it stumbled why . the , in the Thousand Magicalneybs and saidagsi , " , the there the . driveivering voice , He said ? the air , " , but thehood and threws , ? " said last boy " . up at " match , toward the air an . " said say't open , " said Harry . . " said mean he . it " he but he't know know up . " said few people nodded . . us this . name , " thenamus .ed . " , " , but a being to " " down at " said was us all Granger " said a information , and , " heodel , pulledartments ? us few potion as powerful , . it that though air Birthday of the Death . " whistlezoar , Crab goat taken out the air r the few and a up save you , the poisons . " he allhood and thesbane , and had you air plant , and filled goes to the air , theonite . " , " ,'t anywhere , the that would the " I was a goat rummelf for Gryills . a . " the air of " , , " said now goat you savezo out theffindor , , monks information , and , He said these't anywhere his monks dungeonffindor as they differenceions lesson continued . Harry and up . over pairs and a off all mixing up a very potion when mixing boils . Snape was the the his feet , hair , and the all dried nettles like crush woman fangs , and almost hidden in for , and he'd to look a He had a wondering him to look at all dungeon way to , stewed and armsed andugs from he of the green light and a large crunchsing filled the dungeon an He , stew managed to melt Seamus Finn cauldron . his very blob , and his c when seeping across the dungeon floor . and holes in his who shoes . Harry YOUR , and c shack . se up his cools . they , and had been watchingrenched in his dungeon when he potionauldron collapsed and andaned and his . they and hair sprang up to over his arms and a and He heiot boy , " Idarled Snape , clearing the spilled potion c . the wave of the por and " Id'm you added the ccupine quills up . a quauldron , the c

 Greedy output [epoch -> 1 | step -> 5500]:  " , , , at bit more therid , though were up the sea man , the ceiling . " was't be them all Harry a place arid looked . they as though else , Harry'd bringing at the ordinary people from tapping meters and a , . Harry he you's "'s " ? atuggles , . , " ? " " saidrid , " " Hag , "ing at huge far they said to know up at " he you , there , ? , theringotts . " said said , " much're there " said Hagrid , " saidrikey , " don be a kid . " said said don like a second " " " one more since I know a second here ?'re . " said say a the Le . " was a kid , London in the minutes ' fact . "rid , " was't know the "ugg money , " said if said Hag , " a bills to the stared much said ever all tickets . " stared at than they sold the bills , "rid , a the seats , a knitting Hag was like one singleary , circus tent . " Still , moreer money , " , " said said Harry they was stitches . " , the bills . , of his hand . " said , " said Hagrid , " said was a kid before , the .h don . " " unfolded a bit piece of paper he said't noticed the D he y " read the THEOGWARTS SCHOOL o 'ITCHCRAFT and WITCHARDRY UNIFORM First year students , require : 1 ) One sets of protective work , ( black ) 4 . One plain work hat ( black ) Please all wear 3 1 One winter of protective gloves ( black hide or similar ) 4 3 One winter cloak ( black ) and fastenings ) Please note , led pupils W clothes and note name tags COURSE BOOKS All right , note been copy of protective more protective following : THE Standard Book of protective ( black 1 ) 4 E Goshawk A History of Magic by Adilda Bagshot Magical Her by Adalbert Waffling bell Historyners ' Guide to Findfiguration by Emeric Switch One Thousand Magical Draftbs and Fungi by Phyllida Spore Magical Drafts sincerely Whereions lesson Esenius Jigger Fantastic Beasts and Where was Find Them by Ar Guideamore ( Standard Forces : 1 History to Find Protection by E Trimble OTHER EQUIPMENT 1 ) that )auldron ( Gradeew led , standard size 2 ) 1 set brass , crystal ph

 Greedy output [epoch -> 1 | step -> 6000]:  , , hair the . " said Harryrid , " was doing the Le outside he liked him of them . " he ! " " , ,fully , " up of face . " he clambered onto the bit manmint in the telephone and Dumbledorerid , not came " to of Harry onto the , " , , , the doors of them walls . " crowded up the flight of his pass out wrapped with the telephone , " he door . " said out , " don in " got aer letter theless " saidrid , the gigantic fist . knocked out letters . the storm . open " : " LETortingING , . . " storm open open the Hogwarts . " magic as We robesired boy in itsald green light , up . " had never very stern face came Where's horrible time there a he was also someone to buy . " said Sirs ' s , " McGonagall , " Thank Hagrid , " said you're "rid , " will be a . the ! " said , out owl . . " S to . going much as that have fit into owl hall the upperursleys ' house . the in " whole floor . lit by flaming torches like a upper like theringotts , " upper . in much into the out of " there doorway marble staircase . the . out the upper floors . " crowded Hag Dumbledoreonagall , the flagged stone school . "'s have the drone of the of the : the doorway to the drone , drone of the school , have beenw in I Dumbledoreonagall , a school years in the doorway , and . , the drone . " crowded in the and in closer to . he crowded have have fit , "ering to the . " I to be , " I Hag McGonagall , " I S to the banquet , be our . " at . will a House . the school Hall , " will bew . the House . " Sorting Hat your very fast ceremony because you " you will . in " House has bew . your House within Hogwarts , " Know be classes by the rest of the House has " in the House hasitory , " spend free . in the House has room . " said S Houses will waiting ,ffindor House youlepuff , "claw , while spendtherin . " of has produced be noble history and spend has produced outstanding witches and spend . " you are you the in " Houses has be the House has of while you rule breaking will be House has . " the rest of the end , while school

 Greedy output [epoch -> 1 | step -> 6500]:  a " . Harry . " said I're it word you " don , word you ? what "'ll this the train ? with this and thenmint and amalade and and soon ,'ll't spinach and liver and liverpe . " reckons , had never corneroger flavored one . . Something " helped up a strange bean , he at once was . and sn of a corner . " Bleaaargh see what Sprouts . " Harry were a good time eating the end Flavor Beans . " was toast for coconut , coconut bean , coconut , coconut , coffee , coffee , coconutardine , coconut Ron a deeper enough . nibble . end , the corner . and .'s't touch , coconut was out a the peppermint He neat now , pasties end . becoming wilder . He neat fields had a . He , was woods , twisting rivers , twisting Harry green hills . He were a dark on the dark of the compartment door Ron window faced snake had had to , the nine and the quarters came in . He had tearful of He The , " The had , " Right we you know a good the , all , " The you shook their heads . " hadailed , " The think lost him we " keeps raised away , me a " Hell said turn him a " said Harry and Mind said , " said Harry window miserably off " said , " I see you back said keeps , " said't know what I said lap bothered , " said Harry . " said I tried lose up to her ? tried better our , quick as quick think I " you loads " think himabbers stayed " bothered tried't talk to " " Gry was doing staringoozing on the . lap . " said rum have been . Ron ,'t know what difference to " said Ron had disgust , " said'll to make him , yesterday to turn a by interesting . but Ron spell didn't talk robes "'ve show you , but at He rummaged clean the disgust wand and Ron back a d battered looking depressed back " was chipped in disgust and Hermione about by chinting Events the end of " Unicorn hair , nearly poking into of He , He rum a raised her wand back the girl door slid back , . " dooradless Nick in still into but then time . tried a few with the , He had a seen a hand Hogwarts robes came He Has anyone had it bossadless "'s lap one of and Has said Ron " had nearly bossy sort of bus : " of bushy brown hair , but George

 Greedy output [epoch -> 1 | step -> 7000]:  . . boy with a little ,c out his the , and the the end . and was . around at his . . which a up at Harry rip it where . HurUFFLEPUFF . " shouted Uncle hat began " hat on the hat down and Harryapped . the all on move on at the hatlepuff ! . " saw the hat in the hat Friarled merrily at them . " The , " ! " " TheUFFLEPUFF ! " shouted at hat , . " Susan !uttled at to the on to the ! " The , " as " " "AVENCLAW ! " The hat on , the hat toapped his , several littleclaws stood up at shake hands with the as the joined them . " Brocklehurst , theandy " went to shakeclaw too , " " Brown , Lavender " went the hat new Gryffindor , but the far and the far , exploded . cheers Harry could see his stared twin brothers catcalling . " Bulstrode , buticent " I it the Slytherin , He it , a . imagination . as the .'d put the ittherin , but he'd he could like . unpleasant lot . " was in to see definitely sick now . " had being picked up teams during gym at his old school , " had any been chosen to feel chosen at but because he was the , as but he he , of to to see he liked to a " Finch Flet ,ley , but ! " Sometimes SometimesUFFLEPUFF ! " Finn , but , the but hat eagerly the of hat , once . but he once it , a little Sly they the . " Finnigan , butamus , " Finn hat haired boy next to the , the hat , the on the hat and the ran long minute there the hat declared him by horribleffindor , " GR . " ! " GR ! ran to the hat and jammed the hat . on the head . " GRYFFINDOR ! " GR the hat . " ,aned . " horrible thought struck the . " the thought , get . he ? very nervous . " if I was't chosen at all . " if he'd got down . M hat . his eyes , ages , and next McGonagall openedked his , on way and he there . never . a mistake , he was better get back on the hat . " it ,bottom , " hat who kept losing his head decide , and called and when fell over his his head to decide hat and

 Greedy output [epoch -> 1 | step -> 7500]:  of of fashion outside He lookedmed " eyes on the steering . and beard eyes . hard the hag of the hisos , quite close that the Harry were saying excited tin than . " Dursley , enraged to see that were couple of them weren't young at the back , that were had to see older than he would wearing that wearing an emerald green cloak ! The nerve of them ! But then , was Harry Dursley always this , probably some silly stunt these weird in obviously collecting for something yes , that this be it struck " traffic moved back and P few minutes later they that Dursley , in his Grunnings parking lot of his back back on the . He Dursley , sat down his back on him window . a back on the window floor . He he had't , he'd have found it harder to concentrate on the were man and He didn't , the windowls swooping past in broad daylight , though he down next broad street until he were and gazed open mouthed as owl after owl after overhead . Most of them next to seen an owl after seen nighttime . He Dursley , owl , though never perfectly , , owl even morning . He yelled at five different people down He yelled several important telephone calls and shouted a large more . He yelled in a large good mood until lunchtime , and he'd he thought stretch his legs and walk across the road to buy himself a bun from the street . He yelled stretch ! about the wall in aaks . he passed . group of them next to the baker made . He eyed and angrily as he caught . He eyed't he he he he he were several uneasy . He bunch were whispering excited and . clutching , and he passed't see a single collecting tin . He were on the way back past them , and a large doughnut in a large . that he thought a bag words of what he were whispering , He " catters , "'s right , "'s right , heard " yes yes , " son , "'s " Dursley stopped dead . He flooded him . He'd back dead the whisperers as he he wanted . say , to say , and he he of it , He dashed back and the road , and up . say secretary , seized at the telephone not to disturb him . seized his telephone , seized stro almost finished dialing his mustache number when he was his back back He Who the receiver back and , stroked his mustache , being no , he wanted being stupid . He wasn't say an unusual name . He

 Greedy output [epoch -> 1 | step -> 8000]:  . boy blond he'd a letter watch . the stomach . stro Dean was " was the large fat watch . " was a uses on it one instead at no planets were moving around the edge of " was have made a to be , because , he he couldn Hed in down his pocket full said , he Irid , not . " suppose ? was in said was't I suppose be in , " the tea through " And And , " said Hag McGonagall . " " I suppose't suppose you're not to tell me why you're going , of all places ? " " " suppose come to tell Harry . his aunt and uncle . "'re the only family he's left now . " " " won't . you're't mean you people who live here ! " cried Professor McGonagall , jumping to him feet and uncle at all four . " cried firmly can't . "'ve been watching him all day . "'ve't . two people who are less like us . " they've come this son he've him kicking his mother all this street and the street , screaming for him . " Potter ! and live here ! " His cried's the best place ! him when " said Dumbledore firmly . " His aunt and live will be able to explain all to him when he's older . "'ve got them a letter . I Really Really letter ? These repeated Professor McGonagall faintly , sitting back down on the wall . " Really , you . sitting think it think explain all this in a legend . These people will never understand them ! "'ll be famous a legend I'm't be surprised if today was known as Harry every Day in the future there will never famous written the Harry every child in our world ! know his name ! Can said said , " said Dumbledore ! of very seriously over the top of his cloak moon glasses . " It's be enough , turn any boy ! ready . " before he have walk and talk ! Famous before something ! won't even remember ! "'t even , how he to off . won be able growing up ! , his he until he'll ready to take it . " Professor McGonagall opened his mind , and her mind how and , and he said , and Yes yes , and're right , and course . " how is it boy getting here , and . " Yes eyed it cloak suddenly as she she thought he have be hiding Harry underneath it . " Yesrid . bringing him , " Yes Yes Know he was to trust Hagrid with something as he as this in " I Yes'm trust

 Greedy output [epoch -> 1 | step -> 8500]:  , the thetherin .'ll be me head reason , " cunning folk . them money To achieve their ends . " we in an the Suppose't been afraid l And finally't know y the flap You Know too the places ( " You know been ) For I'm the Thinking Cap But said whole hall burst into applause as the world finished its song at " bowed to be other a only tables on then became quite the staring . " Dumbledore that'd just the landedad on the hat had " Harry whispered toad did " Ron'll kill Fred , but was on on the wrestling a lot . " Harry's weakly . " , but to the hat and too lot better than having a try a lot didn but he was wish at did see tried w at the everyone watching . " hat seemed to do asking rather a lot of sh't feel brave or quick witted or quick of a at the hat the If he the hat had mentioned a bit for the who felt a long queasy , that would have been the end for him . If McGonagall now stepped forward holding him long roll of parchment . " When we call your name , " will put on the stool and sit on the stool to turn sorted to " said left . " Abbott , Hannah ! " The pink faced girl with blonde pigtails stumbled out of line , and on the right and and fell right down . the eyes , and sat down on The few's pause " HUFFLEPUFF ! " shouted the hat and The last . the right down and clapped as Hannah ! to sit next at the Hufflepuff ! . Harry saw that Fat of the ghost Friar waving merrily at the eyes " Bones , Susan ! " The theUFFLEPUFF ! " shouted the ghost began . Terry Susan !uttled off the sit next to sit ! " Boot , Terry ! " shouted BootAVENCLAW ! " shouted ghost second , the left clapped the is several Ravenclawaws , up to the hands with Terry as they'd them . " Brocklehurst , Mandy " Brown to Ravenclaw too , " " Brown , "ender " Brown the first new Gryffindor , and the Sly second the far left exploded with cheers Harry could see the's new brothers catcalling . " Bulstrode over Millicent " then it a Slytherin old Harry it was Harry had imagination , after all the'd be about Slytherin , but they'd it looked like an unpleasant lot about " was starting to feel definitely sick now . " was being

 Greedy output [epoch -> 1 | step -> 9000]:  " mother , up the ground , " at the groundint ofiring coils . Uncle Make y ! , " said saidined at his friends . " Vernon grun on the glass , but the glass didn't budge . " Do it again , " Do ordered . " Vernon rapped the glass smartly with his handsuckles , but the snake just snoozed on . " This is boring , but Dudley moaned . He wouldnled away . " moved in front of the tank and looked intently at the snake in He wouldn't have been surprised if it had died of boredom itself no company except stupid new drumming their fingers on the glass trying to disturb it all day long . It was worse than having a bedroomboard as they bedroom , where the only visitor was Aunt Petunia hammering on the rest to wake you up at least he got to visit the rest of the house . The snake suddenly opened its headady eyes . Slowly , very slowly , very raised its eyes until its eyes were on a level with Harry's . Then winked , Then stared . Then he looked back around . see if anyone was watching . Then weren't . It looked back at least snake jer winked , too . Slowly snake jerked its head until Uncle Vernon and Dudley , then raised its eyes to the ceiling . It gave Harry stared look that said quite plainly : " I know that you the time . " " " know , " " murmured through the time , though he wasn't sure the glass could hear him . " The must be really annoying . " The snake jab vigorously . " Where do you come from the anyway ? " Where asked . " snake jabbed its tail at a little sign next to the glass . " peered at the . Boa Constrictor , Brazil ? " The it nice there ? " The boa constrictor jabbed its tail at it zoo again and Harry read on : This specimen was bred in the zoo . " Oh , I know so you've never been to Brazil ? " As the zoo shook its head , a deafening shout behind you made both of them jump . " DUDLEY ! COM DUDSLEY ! COME AND LOOK AT THIS SNAKE ! YOU WONT OFIEVE WHAT IT'S DOING ! " he came waddling toward them as he as he could . " Out of horror way , the , punching he said , punching Harry in the ribs . "aught by surprise , P fell hard on the ribs floor . Uncle came next happened so fast

